name,artist,mood
Ditto,NewJeans,neutral
OMG,NewJeans,neutral
Hype boy,NewJeans,neutral
사건의 지평선,윤하 (YOUNHA),neutral
VIBE (feat. Jimin of BTS),태양,neutral
Sugar Rush Ride,투모로우바이투게더,neutral
ANTIFRAGILE,LE SSERAFIM (르세라핌),neutral
Attention,NewJeans,neutral
After LIKE,IVE (아이브),neutral
사랑은 늘 도망가,임영웅,neutral
Candy,NCT DREAM,neutral
Ay-Yo,NCT 127,neutral
우리들의 블루스,임영웅,neutral
LOVE DIVE,IVE (아이브),neutral
Nxde,(여자)아이들,neutral
NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,neutral
Devil by the Window,투모로우바이투게더,neutral
다시 만날 수 있을까,임영웅,neutral
네버랜드를 떠나며,투모로우바이투게더,neutral
London Boy,임영웅,neutral
Tinnitus (돌멩이가 되고 싶어),투모로우바이투게더,neutral
너의 모든 순간,성시경,neutral
Monologue,테이,neutral
Happy Fools (feat. Coi Leray),투모로우바이투게더,neutral
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),neutral
I Don't Think That I Like Her,Charlie Puth,neutral
이제 나만 믿어요,임영웅,neutral
무지개,임영웅,neutral
Polaroid,임영웅,neutral
Cookie,NewJeans,neutral
마지막 사랑,신예영,neutral
아버지,임영웅,neutral
사랑인가 봐,멜로망스,neutral
A bientot,임영웅,neutral
Rush Hour (Feat. j-hope of BTS),Crush,neutral
인생찬가,임영웅,neutral
해요 (2022),#안녕,neutral
손이 참 곱던 그대,임영웅,neutral
사랑해 진짜,임영웅,neutral
Shut Down,BLACKPINK,neutral
그대를 알고,송하예,neutral
연애편지,임영웅,neutral
마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS),neutral
Say I Love You,우디 (Woody),neutral
Pink Venom,BLACKPINK,neutral
혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),neutral
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,neutral
TOMBOY,(여자)아이들,neutral
FEARLESS,LE SSERAFIM (르세라핌),neutral
잘가요,주호,neutral
DJ,NCT 127,neutral
취중고백,김민석 (멜로망스),neutral
내가 아니라도,주호,neutral
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),neutral
네가 보고 싶은 건 자연스러운 거겠지,신예영,neutral
Good Boy Gone Bad,투모로우바이투게더,neutral
보금자리,임영웅,neutral
그라데이션,10CM,neutral
That's Hilarious,Charlie Puth,neutral
그댄 행복에 살텐데 (2022),최유리,neutral
